uuid,skipped,scraped_at,source,job_id,job_title,company_name,location,date,job_link,job_desc,seniority,emp_type,job_func,ind
5462a60b-1626-d959-2499-4d936b1f64e7,False,2023-11-26,Indeed,jobTitle-d1d12124babd4d39,Airport Attendant,Kas Ventures,"Kas Ventures
Lagos","Employer
Active 5 days ago",https://ng.indeed.com/company/KAS-VENTURES/jobs/Airport-Attendant-d1d12124babd4d39?fccid=c9d38c2bd423b7d1&vjs=3,"Conducting pre-flight safety checks and ensuring the plane is clean.
Demonstrating safety and emergency measures, such as the use of oxygen masks, seat belts, and exit doors.
Offering information and support to ensure the safety and comfort of passengers.
Welcoming passengers, verifying their tickets, and directing them to their seats.
Making and serving beverages and food to passengers.
Responding to passengers' questions about flights, travel routes, and arrival times.
Attending pre-flight briefings and studying all the details of the flight.
Leading passengers in case of emergency and giving first aid to passengers if necessary.
Offering support to passengers with special needs, including children, disabled persons, and elderly individuals.
Preparing analytic reports concerning flight issues.

Job Type: Full-time

Pay: Up to ₦120,000.00 per month

Ability to commute/relocate:

Lagos: Reliably commute or planning to relocate before starting work (Required)",Unavailable on Indeed,Full-time,Unavailable on Indeed,Unavailable on Indeed
5ef4db24-643a-f245-c346-ee5f33809ba1,False,2023-11-26,Indeed,jobTitle-dfa4397d69167292,Head of Customer Service,Ascentech Services Ltd,"Ascentech Services Ltd
Lagos","Employer
Active 5 days ago",https://ng.indeed.com/company/Ascentech-Services-Ltd/jobs/Head-of-Customer-Service-dfa4397d69167292?fccid=f0e84bc88bd76fbe&vjs=3,"Job Title: Head of Customer Service

Location: Ikeja, Lagos

Industry: ISP/Telecom

The ideal candidate must be able to facilitate the delivery of excellent customer service processes throughout the organization, ensuring everyone meets standards and maintaining customer satisfaction.

Responsibilities

· Perform Quality Control Inspections, direct and manage all activities relating to the delivery of effective customer service

· Liaise with other department heads across the organization

· Implement and maintain effective methods for gathering customer satisfaction data

· Provide strategic direction, planning, and execution to meet/exceed productivity, brand representation, and efficiency goals;

· Develop plans and targets for the customer service team

· Provide leadership and oversight of management for service operations;

· Delegate tasks to team leaders to ensure the smooth running of the department

· Analyze and interpret data relating to customer service effectiveness

· Manage and maintain long-lasting relationships with customers and clients

· Control expenses and monitor budgets for the department

· Support other departments with customer-service-related issues

· Organize training and facilitate the development of the customer service team

· Assist with recruitment and appraisals of new and existing team members

· Established track record of exceeding targets, KPI’s SLA’s, in a quality led environment

· Communicate and project the “we care” attitude to all customers and employees through all forms of communication (writing, verbal, appearance)

· Also performs other duties as are he deems necessary in the execution of his duties or duties as delegated by the Directors or the Employer.

Requirements/Skills

· BSC/MSC in Business Administration, Project Management, Public Relations, Psychology, Information Systems, International Relations, Information Technology, or any other related field.

· 7 years proven experience working as a Customer Support Manager within a fast-paced and competitive environment (ISP/Telecom company most preferred)

· Must have vast experience in customer service research and analytical techniques.

· Ability to think creatively, strategically, multi-task and work comfortably under pressure

· Exceptional communication, presentational and organizational skills is required

· Must possess outstanding leadership skills

· Must have technological acumen and demonstrate proficiency in MS Office Suite, MIS/CRM tools

Job Type: Full-time

Salary: ₦1,300,000.00 - ₦1,500,000.00 per month",Unavailable on Indeed,Full-time,Unavailable on Indeed,Unavailable on Indeed
0e4fb4c6-7620-a568-74a0-02b56afc9ddc,False,2023-11-26,Indeed,jobTitle-1fb3146caf002585,Airport luggage handlers,Workpear consulting,"Workpear consulting
Lagos","Employer
Active 5 days ago",https://ng.indeed.com/company/Workpear-consulting/jobs/Handler-1fb3146caf002585?fccid=ee86d574df529520&vjs=3,"Handle load and unload customers’ baggage and cargo onto an aircraft.

Operate conveyor belts, tugs, and tow tractors laden with baggage and cargo.

Implement safety procedures and standards in handling customers’ baggage.

Keep track of the baggage and cargo while transferring from cars, buses and to the aircraft.

Ensure delivery of baggage, mail and cargo to the rightful owners.

Lift and handle weighty baggage weighing 50lbs.

Direct and interact with clients in the delivery processes of their baggage.

Protect customers’ baggage, cargo and their items from theft, loss and damage.

Perform baggage handling procedures like paperwork and documentation.

Integrate honest practices in handling customers’ baggage and loads.

Job Type: Full-time

Salary: ₦90,000.00 per month

Ability to commute/relocate:

Lagos: Reliably commute or planning to relocate before starting work (Required)",Unavailable on Indeed,Full-time,Unavailable on Indeed,Unavailable on Indeed
8bdc3598-986b-61bb-c3d9-323c68b2aaa6,False,2023-11-26,Indeed,jobTitle-af03241dab43f98b,New USAID LEARN to Read Activity to Improve Reading Outcomes for 3.5 million Nigerian Children,US Embassy in Nigeria,"US Embassy in Nigeria
Nigeria","Posted
Posted 18 days ago",https://ng.indeed.com/rc/clk?jk=af03241dab43f98b&fccid=0782762f23f979f3&vjs=3,"By U.S. Mission Nigeria
5 MINUTE READ
September 1, 2022

In the middle: Minister of Education for State, Goodluck Nana Opiah, flanked by Supervisory Program Officer USAID/Nigeria Stephen Menard, Creative Associates President Leland Kruvant, and other esteemed dignitaries.

Abuja – On August 30, the U.S. Agency for International Development (USAID) launched the Leveraging Education Assistance Resources in Nigeria (LEARN) to Read activity, to improve early grade reading in the country over the next five years. This $48.8 million U.S. Mission Nigeria investment in education will provide a better future to millions of Nigerian children, and help lead to thriving, prosperous communities throughout Nigeria.

LEARN to Read will contribute to improvement in the reading outcomes of more than 3.5 million children in 5,900 schools and in the capacity of more than 35,000 teachers, headteachers, and school support officers to support early grade reading in about 6,000 schools.

“The new USAID activity will ensure that school-age children and youth in Nigeria are able to gain foundational skills, such as literacy and numeracy, safely, while building critical social and emotional skills to progress to higher levels of education, training, and employment,” Supervisory Program Office Director USAID/Nigeria, Stephen Menard said at the launch.

“The Federal Ministry of Education recognizes the efforts of USAID in the last 20 years to improve literacy in Nigeria through its innovative programs,” Minister of State for Education, Goodluck Nana Opiah said at the launch. “LEARN to Read will build on the close collaboration with the Ministry of Education, Nigerian Educational Research and Development Council, and language/curriculum experts to support mother tongue-based medium of instruction in the early grades.”

USAID’s education program focuses on the most vulnerable parts of the population, while supporting the Government of Nigeria to deliver quality education. Key focus areas include increasing enrollment, strengthening basic education, building capacity of teachers, and raising minimum academic standards for reading curriculum.

The LEARN to Read activity will build on the gains of the recently concluded USAID-funded Northern Education Initiative (NEI Plus), which improved reading outcomes for more than one million children in Bauchi and Sokoto states. LEARN to Read will strengthen and scale up early grade reading best practices in both states, designated as Legacy states. It will leverage more state and private resources to infuse global best practices for the teaching and learning of early grade reading in the states.

In addition to supporting the two Legacy states, LEARN to Read will also offer technical assistance to two other states (designated as Launching states) and at least another two states (designated as On-demand states) as part of USAID’s mission to support education and reach millions more children with lifelong skills across Nigeria. These efforts will help develop a new generation of leaders equipped to help Nigeria meet the development challenges ahead.",Unavailable on Indeed,NA,Unavailable on Indeed,Unavailable on Indeed
34f5b9e8-6adb-0b71-0380-f914eed7317c,False,2023-11-26,Indeed,jobTitle-2d3c6c15c3317126,1. Field Officers (entry-level),New Incentives,"New Incentives
Katsina","Posted
Posted 30+ days ago",https://ng.indeed.com/rc/clk?jk=2d3c6c15c3317126&fccid=c2611e6210f5f0ba&vjs=3,"Field Staff: Jigawa, Katsina, Zamfara State

Non-profit New Incentives is looking to identify Field Officers that will help to expand its team dedicated to preventing child mortality in Jigawa, Katsina, and the Zamfara States in Nigeria. This post is strictly for contingency purposes and to identify candidates for future scaling (potentially).




The Field Officers will support the New Incentives program that utilizes cash transfers to encourage mothers to complete the immunization schedule of their infants. The program is operated in cooperation with the State Primary Healthcare Development Board in Jigawa/Katsina/Zamfara State. The primary duty in the role will be enrolling beneficiaries at public clinics.

Field Officers are hired full-time and work at clinics throughout Jigawa, Katsina, and Zamfara State and must already be based/reside in one of the following towns:

Jigawa

Gwiwa
Gumel
Yankwashi
Kazaure
Miga
Maigatari
Kiyawa
Gwaram
Dutse
Buji
Kafin Hausa
Malam Madori
Auyo
Sule Tankarkar
Gagarawa
Roni
Babura
Jahun
Kaugama
Kiri Kasama
Guri
Garki
Hadejia
Taura
Birnin Kudu
Biriniwa
Ringim

Katsina

Musawa
Zango
Dan Musa
Sandamu
Matazu
Mashi
Katsina
Sabuwa
Kaita
Dutsi
Dandume
Batsari
Jibia
Danja
Batagarawa
Rimi
Kankara
Malumfashi
Kafur
Mani
Funtua
Kusada
Bindawa
Daura
Mai'Adua
Baure
Faskari
Dutsin Ma
Bakori
Kurfi
Charanchi
Kankia
Ingawa
Safana

Zamfara

Bungudu
Birnin Magaji-Kiyaw
Gusau
Talata Mafara
Zurmi
Kaura Namoda
Anka
Maru
Tsafe
Shinkafi
Bakura
Gummi
Maradun
Bukkuyum

Context:

Over the past years, Nigeria has considerably expanded the availability of vaccination services for infants. Despite this progress on the supply side, demand for vaccinations remains relatively low. New Incentives encourage mothers to fully vaccinate their infants with cash transfers and thereby ensures their babies are protected against deadly diseases. The cash transfers allow the mothers to afford transport to the clinic and compensate them for lost income.

Key Duties:

Enrolling beneficiaries at remote public clinics
Monitor immunization services at your clinic
Interact with clinic staff and beneficiaries
Assist with other duties related to the program

Please note that this is a hands-on job for hard-working, dedicated young candidates.




Required Qualifications:

Fluency in local languages/dialects spoken in Jigawa/Katsina/Zamfara State, especially Hausa. Please state the names of the languages/dialects you can speak and your fluency level for each language in your cover letter.
Nigerian national already based in Jigawa, Katsina, or Zamfara State.
Minimum of National Diploma, ideally Bachelor degree, preferably in the field of health or other natural sciences
Willingness to work at remote public clinics a few days per week and take public transport to reach them
Experience with the Nigerian health system and clinic documentation, particularly related to infant health and vaccinations
Experience in collecting, synthesizing, and drawing conclusions from (health) data desirable
Careful attention to financial matters and management of funds
Detail-oriented, diligent professional
Passion to help others and reduce infant mortality
Very good communications and writing skills, English, Hausa, and dialects (verbal and written)
Excellent responsiveness to email and phone requests
Proficiency in Microsoft Word/Excel, internet browsers, smartphones, and new communications technology in general
Hard-working, result-oriented and loyal
Motivation to work in a young organization that is constantly changing based on stakeholder feedback and operates with a lean structure

Applications are accepted only online through Breezy HR and must include the following attachments:

One-page CV
A brief letter of motivation (maximum of 300 words)

The selection process for this position is competitive. Applications will be reviewed on a rolling basis. Candidates short-listed based on their online applications will have to undergo a series of online tests and interviews that allow for the identification of the most qualified person in a transparent and meritocratic manner. At the end of the process, candidates will be invited to an in-person training and the best candidates will be offered a position.

Please note that New Incentives is dedicated to spending the largest share possible on its beneficiaries and therefore limits its administrative costs. This results in modest but adequate salaries for its staff. Do not expect salaries that larger international organizations or corporations might offer.

Note: “Female applicants are strongly encouraged to apply”




To apply, click on the button below. Please do NOT submit applications by email.

DISCLAIMER: Beware of fraudulent job offers. New Incentives – All Babies Are Equal Initiative does not charge a fee at any stage of the recruitment process.",Unavailable on Indeed,Full-time,Unavailable on Indeed,Unavailable on Indeed
7f294374-efa7-b8b3-5ee3-35290701f827,False,2023-11-26,Indeed,jobTitle-8a3481b3de08ae2e,2024 Arla Foods Internship Programme â Arla Foods,Jobspaddy,"Jobspaddy
Nigeria","Posted
Posted 18 days ago",https://ng.indeed.com/rc/clk?jk=8a3481b3de08ae2e&fccid=9d2dd499cf1b2888&vjs=3,"J
2024 Arla Foods Internship Programme â€“ Arla Foods
Jobspaddy
Legal Services
Rest of Nigeria Full Time
Unspecified NGN Confidential
New
2 weeks ago
Job Summary




Job Description/Requirements

Arla Foods is a dairy cooperative, owned by over 13,500 farmers. Our philosophy of producing natural, healthy and high quality dairy products for Nigerian consumers dates back to the 1880s when dairy farmers in Denmark and Sweden joined forces with one common goal â to produce and provide the best dairy products.

Applications are invited for our 2024 Internship Programme.

Job Description

We offer several talent development and training opportunities while gaining experience on the job. We see great potential in our Interns and we are eager to make sure they develop and succeed during their internship.

Departments:

Finance Human Resources Warehouse Maintenance production Supply Chain Quality Assurance

Requirements

A Bachelorâs Degree or Higher National Diploma in relevant field. 0-2 years of experience Proficient in Microsoft Office Packages â MS Word, MS Fresh graduates only Must have completed NYSC or Corps members seeking for PPA Excel & Power point Must be smart, creative, ambitious and willing to learn.",Unavailable on Indeed,Full-time,Unavailable on Indeed,Unavailable on Indeed
f007b796-d529-1375-200f-cfb5d12fb2c8,False,2023-11-26,Indeed,jobTitle-06bb676220ffceb4,System Support Staff,PG Consulting Limited,"PG Consulting Limited
Abeokuta","Posted
Posted 4 days ago",https://ng.indeed.com/company/PG-Consulting-Limited/jobs/Direct-Support-Professional-06bb676220ffceb4?fccid=ce7af4fecae748fc&vjs=3,"About the company

We are currently hiring for one of our clients in the IT (Information technology) field that provides end-to-end business solutions to clients in various sectors in Nigeria

Job Summary:

Are you a recent graduate looking to jumpstart your career in the exciting field of Automated Fare Collection (AFC) for train services? We are seeking a highly motivated and technically proficient individual to join our team as an AFC System Support Staff. In this role, you will play a crucial part in ensuring the smooth operation of our AFC System, supporting train station staff, and contributing to the success of our project.

Key Responsibilities:

1. Training:

Conduct training sessions for train station staff on the proper usage and maintenance of AFC equipment.
Develop training materials, including manuals, videos, and presentations, to facilitate effective knowledge transfer.
Assess the training needs of station staff and adapt training programs accordingly.

2. Technical Support:

Provide technical support for AFC equipment deployed at train stations.
Troubleshoot and resolve issues related to ticketing machines, card readers, and fare collection gates.
Collaborate with the technical team to ensure timely equipment repairs and upgrades.

3. Documentation:

Maintain accurate records of equipment maintenance, issues reported, and resolutions provided.
Generate reports on the performance of AFC equipment and present findings to the project team.

4. Customer Service:

Act as a point of contact for station staff, addressing their inquiries and concerns promptly and professionally.
Ensure a high level of customer satisfaction by delivering excellent support services.

5. Quality Assurance:

Perform regular inspections of AFC equipment to identify potential issues and ensure compliance with safety and quality standards.
Participate in quality control processes to maintain the reliability of the AFC system.

6. Collaboration:

Collaborate with cross-functional teams, including project managers, engineers, and technicians, to achieve project goals.
Communicate effectively to relay feedback and suggestions from station staff to improve system performance.

Qualifications:

Bachelor's degree in a relevant field (e.g., Computer Science, Electrical Engineering, Information Technology, or related).
Strong technical aptitude and problem-solving skills.
Excellent communication and interpersonal skills.
Ability to work independently and as part of a team.
Detail-oriented with a commitment to delivering high-quality work.
Willingness to travel to train stations as needed.
Previous experience or coursework related to AFC systems is a plus but not required.

Benefits:

Competitive salary and benefits package.
Opportunities for career growth and professional development.
Exposure to cutting-edge AFC technology and systems.
Positive and collaborative work environment.

· A supportive and inclusive work environment.

Job Types: Full-time, Permanent

Salary: ₦150,000.00 - ₦200,000.00 per month

Ability to commute/relocate:

Abeokuta: Reliably commute or planning to relocate before starting work (Required)",Unavailable on Indeed,Permanent,Unavailable on Indeed,Unavailable on Indeed
d077b43b-b480-bc8d-ff9d-e38bf8cc8361,False,2023-11-26,Indeed,jobTitle-df627ffedd856720,Gender and Adolescent Officer,African Community & Environmental Health...,"African Community & Environmental Health...
Bauchi","Employer
Active 13 days ago",https://ng.indeed.com/company/African-community-&-environmental-health-initiative/jobs/Gender-and-Adolescent-Officer-df627ffedd856720?fccid=fcbb0ac630bccfc4&vjs=3,"Gender and Adolescent Officer, will play a pivotal role in the design and implementation of programs that address the unique needs of adolescents, with a strong focus on gender inclusivity. responsibilities will include:

Developing and implementing gender-sensitive programs that empower and educate adolescents.
Conducting outreach and awareness campaigns to engage adolescents in our target communities.
Collaborating with local stakeholders and organizations to promote youth-friendly services and opportunities.
Providing support and guidance to adolescents on various topics, including sexual and reproductive health, education, and life skills.
Monitoring and evaluating the impact of programs, collecting data, and preparing reports.
Gender Norms Sessions: Direct Beneficiaries: Girls and adolescents who participate in gender norms sessions to receive education on behavioral changes, development, and addressing issues related to abuse.
Share monthly reports on the gender norms sessions, including attendance and topics covered. Submit an annual report summarizing the overall impact on adolescent girls.
Advocating for the rights and well-being of adolescents in the community.
Contribute to the development of program strategies, subproject documents, work plans and budgets.

Job Type: Contract
Contract length: 12 months

Salary: ₦60,000.00 - ₦100,000.00 per month

Application Deadline: 11/11/2023",Unavailable on Indeed,Contract,Unavailable on Indeed,Unavailable on Indeed
0e85802d-f90c-3fce-3696-24a5188e7127,False,2023-11-26,Indeed,jobTitle-3b7558fd3d8809c8,Admin Assistant,Herotel,"Herotel
Zamfara","Posted
Posted 4 days ago",https://ng.indeed.com/rc/clk?jk=3b7558fd3d8809c8&fccid=38dac1e7f28da3e8&vjs=3,"Applications are invited for the Admin Assistant position to be based in Kwa-Nobuhle.

PURPOSE OF THE ROLE:

Duties of the Administrative Assistant include providing support to our Managers and Employees, assisting in daily office needs and managing our company's general administrative activities. Offers support to their Direct Manager not the company as a whole.





Key Performance Areas would include, but are not limited to:



Maintain office policies and procedures (HR related activities such as loading approved leave on Sage).

Maintain contact lists.
Book and make travel arrangements.
Act as the point of contact for internal and external clients.
Answer and direct phone calls.
Organise and schedule appointments.
Plan meetings and take detailed minutes.
Write and distribute email, correspondence memos, letters, faxes and forms.
Assist in the preparation of regularly scheduled reports.
Handle sensitive information in a confidential manner.
Develop and update administrative systems to make them more efficient.
Resolve administrative problems.
Any adhoc tasks as required by their Manager (reporting, admin or personal assistant tasks).

The successful candidate must have the following experience/skills:

Proven experience as an Administrative Assistant or Office Admin Assistant.
Knowledge of office management systems and procedures.
Working knowledge of office equipment, like printers and scanners.
Proficiency in MS Office (MS Excel and MS PowerPoint).
Excellent time management skills and the ability to prioritize work.
Attention to detail and problem-solving skills.
Excellent written and verbal communication skills.
Strong organizational skills with the ability to multi-task.

Education Requirements:



Grade 12 or equivalent qualification at NQF level 4.
Additional qualification as an Administrative Assistant or Secretary will be an advantage.

PLEASE NOTE:



Preference will be given to Previously Disadvantaged Individual candidates in line with Herotel's Employment Equity Plan.
Submission of your CV provides Herotel with your express consent for us to process your personal information contained therein, for purposes of processing your application. Please refer to our Privacy Policy on our website for further information on how we process personal information.
Kindly note that should you not receive feedback from us within 4 weeks of applying, you should consider yourself unsuccessful for the role.",Unavailable on Indeed,Full-time,Unavailable on Indeed,Unavailable on Indeed
cf670ab8-b6d1-87a2-1740-698111507776,False,2023-11-26,Indeed,jobTitle-acaec4f2e03d33b7,FRONT DESK OFFICER,"Novo Car Rentals Ltd, Lekki.","Novo Car Rentals Ltd, Lekki.
Lekki","Employer
Active 12 days ago","https://ng.indeed.com/company/Novo-Car-Rentals-Ltd,-Lekki./jobs/Front-Desk-Agent-acaec4f2e03d33b7?fccid=138a263c11b4b0b2&vjs=3","JOB DESCRIPTION:

Responsible for attending to visitors, client enquiries and ascertaining the level of client satisfaction on rentals done.

JOB SCHEDULE:

· Schedule outbound calls to clients to ascertain the level of service satisfaction.

· Respond to all client enquiries, requests and complaints

· Keep and maintain a database of all client details, requests and complaints.

· Follow up on all client complaints and ensure resolution within a reasonable turnaround time.

· Drive continuous service improvement by communicating client feedback to stakeholders and proffering recommendations for improved client satisfaction

· Respond to all clients’ and visitors’ enquiries.

· Administration of all incoming and outgoing correspondence.

· Direct all official visitors to the appropriate staff.

· Interface with all visiting government agencies with the required level of tact and confidentiality.

· Registration of intending drivers and assisting with coordination of driver’s interviews.

· Supervise the activities of the cleaners in ensuring that they carry out their duties efficiently.

· Carry out any other functions as assigned by the executive management.

Job Type: Permanent

Pay: ₦120,000.00 - ₦150,000.00 per month

Education:

Undergraduate (Required)

Experience:

front desk: 2 years (Required)
customer service: 2 years (Required)

Application Deadline: 24/09/2023
Expected Start Date: 02/10/2023",Unavailable on Indeed,Permanent,Unavailable on Indeed,Unavailable on Indeed
be314eb8-08b0-e06b-432e-6b8bb5d0cf15,False,2023-11-26,Indeed,jobTitle-c17f3d4f973d82c8,Email Customer Support Agent (Freelance),Social Discovery Group,"Social Discovery Group
Nigeria","Posted
Posted 6 days ago",https://ng.indeed.com/rc/clk?jk=c17f3d4f973d82c8&fccid=c2bbeeeab701ed38&vjs=3,"S
Email Customer Support Agent (Freelance)
Social Discovery Group
Customer Service & Support
Remote (Work From Home) Contract
Entertainment, Events & Sport NGN Confidential
New
6 days ago
Job Summary

We are seeking a Email Customer Support Agent to join our team on freelance basis. As an Email Customer Support Agent, you will play a crucial role in ensuring our users have a positive and enjoyable experience on our online dating platforms. You will be the first point of contact for users who reach out with general inquiries, minor issues, or feedback, and your primary responsibility will be to provide prompt and courteous assistance via emails.

Minimum Qualification: Others
Experience Level: Entry level
Experience Length: 2 years
Job Description/Requirements

Job Responsibilities

Respond to user emails in a timely and professional manner.

Address user inquiries, resolve issues, and provide helpful guidance.
Assist users with account-related concerns, and general inquiries.
Maintain accurate records of user interactions and feedback for reporting purposes.
Collaborate with other departments to escalate and resolve complex issues.
Keep up-to-date with our products and services to provide accurate information to users.
Contribute to improving our knowledge base and customer support processes.
Strive for continuous improvement in customer satisfaction and support quality.


Job Requirements

Fluent in written and spoken English.

Strong written communication skills with an emphasis on clarity and empathy.
Excellent problem-solving abilities and a customer-oriented mindset.
Previous customer support or service experience is a plus.
Basic knowledge of online dating platforms or related services is preferred.
Ability to work independently and as part of a team.
Detail-oriented and highly organized.
Comfortable working in a fast-paced and dynamic environment.
Availability to work flexible hours, including evenings and weekends if required.",Unavailable on Indeed,NA,Unavailable on Indeed,Unavailable on Indeed
36834587-b1d2-fc8a-e40a-1fb8cad0c208,False,2023-11-26,Indeed,jobTitle-17561164be7a08ef,Customer Service,Cosmos concept,"Cosmos concept
Lagos","Employer
Active 6 days ago",https://ng.indeed.com/company/Cosmos-concept/jobs/Customer-Service-Representative-17561164be7a08ef?fccid=e48efaaefc0d52e3&vjs=3,"Maintaining a positive, empathetic, and professional attitude toward customers at all times.
Responding promptly to customer inquiries.
Communicating with customers through various channels.
Acknowledging and resolving customer complaints.

Job Type: Full-time

Salary: Up to ₦150,000.00 per month

Experience:

Customer service: 1 year (Preferred)

Ability to Commute:

Lagos (Required)

Ability to Relocate:

Lagos: Relocate before starting work (Required)",Unavailable on Indeed,Full-time,Unavailable on Indeed,Unavailable on Indeed
1531ab50-48d5-0c83-3193-a37ef19805d6,False,2023-11-26,Indeed,jobTitle-4a3452755a68c4b9,Admistrative Assistant,Onore Concept,"Onore Concept
Lagos","Posted
Posted 2 days ago",https://ng.indeed.com/company/Onore-Concept/jobs/Admistrative-Assistant-4a3452755a68c4b9?fccid=bbd5d70240feacc5&vjs=3,"Responsibilities:
- Provide administrative support to the team and assist with daily operations
- Manage calendars, schedule appointments, and coordinate meetings
- Answer phone calls, take messages, and respond to inquiries
- Greet visitors and provide excellent customer service
- Perform general office duties such as filing, data entry, and document preparation
- Assist with order entry and inventory management
- Coordinate travel arrangements and accommodations
- Conduct research and compile information as needed
- Assist with proofreading documents for accuracy and clarity

Experience:
- Previous experience as an assistant or in a similar role preferred
- Strong organizational skills with the ability to prioritize tasks effectively
- Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint)
- Experience with Google Suite (Docs, Sheets, Slides) is a plus
- Excellent communication skills, both written and verbal
- Attention to detail and strong problem-solving abilities
- Ability to multitask and work well under pressure
- Previous experience in a medical office or customer service role is desirable

This is a great opportunity for someone who is highly organized, detail-oriented, and enjoys providing support in a fast-paced environment. If you are a proactive individual with excellent communication skills and the ability to handle multiple tasks simultaneously, we would love to hear from you. Please apply with your resume highlighting your relevant experience.

Job Type: Full-time

Pay: ₦100,000.00 - ₦150,000.00 per month",Unavailable on Indeed,Full-time,Unavailable on Indeed,Unavailable on Indeed
